"wind","month","temp"
7.4,"may",67
8,"may",72
12.6,"may",74
11.5,"may",62
14.3,"may",56
14.9,"may",66
8.6,"may",65
13.8,"may",59
20.1,"may",61
8.6,"may",69
6.9,"may",74
9.7,"may",69
9.2,"may",66
10.9,"may",68
13.2,"may",58
11.5,"may",64
12,"may",66
18.4,"may",57
11.5,"may",68
9.7,"may",62
9.7,"may",59
16.6,"may",73
9.7,"may",61
12,"may",61
16.6,"may",57
14.9,"may",58
8,"may",57
12,"may",67
14.9,"may",81
5.7,"may",79
7.4,"may",76
8.6,"jun",78
9.7,"jun",74
16.1,"jun",67
9.2,"jun",84
8.6,"jun",85
14.3,"jun",79
9.7,"jun",82
6.9,"jun",87
13.8,"jun",90
11.5,"jun",87
10.9,"jun",93
9.2,"jun",92
8,"jun",82
13.8,"jun",80
11.5,"jun",79
14.9,"jun",77
20.7,"jun",72
9.2,"jun",65
11.5,"jun",73
10.3,"jun",76
6.3,"jun",77
1.7,"jun",76
4.6,"jun",76
6.3,"jun",76
8,"jun",75
8,"jun",78
10.3,"jun",73
11.5,"jun",80
14.9,"jun",77
8,"jun",83
4.1,"jul",84
9.2,"jul",85
9.2,"jul",81
10.9,"jul",84
4.6,"jul",83
10.9,"jul",83
5.1,"jul",88
6.3,"jul",92
5.7,"jul",92
7.4,"jul",89
8.6,"jul",82
14.3,"jul",73
14.9,"jul",81
14.9,"jul",91
14.3,"jul",80
6.9,"jul",81
10.3,"jul",82
6.3,"jul",84
5.1,"jul",87
11.5,"jul",85
6.9,"jul",74
9.7,"jul",81
11.5,"jul",82
8.6,"jul",86
8,"jul",85
8.6,"jul",82
12,"jul",86
7.4,"jul",88
7.4,"jul",86
7.4,"jul",83
9.2,"jul",81
6.9,"aug",81
13.8,"aug",81
7.4,"aug",82
6.9,"aug",86
7.4,"aug",85
4.6,"aug",87
4,"aug",89
10.3,"aug",90
8,"aug",90
8.6,"aug",92
11.5,"aug",86
11.5,"aug",86
11.5,"aug",82
9.7,"aug",80
11.5,"aug",79
10.3,"aug",77
6.3,"aug",79
7.4,"aug",76
10.9,"aug",78
10.3,"aug",78
15.5,"aug",77
14.3,"aug",72
12.6,"aug",75
9.7,"aug",79
3.4,"aug",81
8,"aug",86
5.7,"aug",88
9.7,"aug",97
2.3,"aug",94
6.3,"aug",96
6.3,"aug",94
6.9,"sep",91
5.1,"sep",92
2.8,"sep",93
4.6,"sep",93
7.4,"sep",87
15.5,"sep",84
10.9,"sep",80
10.3,"sep",78
10.9,"sep",75
9.7,"sep",73
14.9,"sep",81
15.5,"sep",76
6.3,"sep",77
10.9,"sep",71
11.5,"sep",71
6.9,"sep",78
13.8,"sep",67
10.3,"sep",76
10.3,"sep",68
8,"sep",82
12.6,"sep",64
9.2,"sep",71
10.3,"sep",81
10.3,"sep",69
16.6,"sep",63
6.9,"sep",70
13.2,"sep",77
14.3,"sep",75
8,"sep",76
11.5,"sep",68
